"Time (s)","X (hPa)"
4.728532627E2,1.027997589E3
4.738086907E2,1.027997589E3
4.747640847E2,1.028228607E3
4.757193927E2,1.028228607E3
4.766748157E2,1.028225937E3
4.776303257E2,1.028152771E3
4.785858447E2,1.027785873E3
4.795414307E2,1.027375870E3
4.804970187E2,1.027375870E3
4.814525117E2,1.027679749E3
4.824080947E2,1.027919312E3
4.833637637E2,1.028328400E3
4.843195287E2,1.028644943E3
4.852751367E2,1.028644943E3
4.862308867E2,1.028496170E3
4.871865447E2,1.028387299E3
4.881420177E2,1.027929840E3
4.890974127E2,1.027415314E3
4.900528947E2,1.027306213E3
4.910083557E2,1.027160645E3
4.919639617E2,1.027160645E3
4.929195057E2,1.027257080E3
4.938751747E2,1.027601013E3
4.948307817E2,1.027862701E3
4.957864177E2,1.028111496E3
4.967420537E2,1.028272552E3
4.976981367E2,1.028272552E3
4.986543257E2,1.028207169E3
4.996105177E2,1.028039169E3
5.005667077E2,1.027905045E3
5.015230507E2,1.027849579E3
5.024793657E2,1.027815094E3
5.034358307E2,1.027815094E3
5.043922037E2,1.027834702E3
5.053486487E2,1.027843552E3
5.063050757E2,1.027884445E3
5.072615387E2,1.027978439E3
5.082181677E2,1.027978439E3
5.091746807E2,1.027891922E3
5.101312757E2,1.027801208E3
5.110879137E2,1.027655029E3
5.120443857E2,1.027489548E3
5.130008917E2,1.027333832E3
5.139574137E2,1.027224884E3
5.149144287E2,1.027133713E3
5.158714937E2,1.027070847E3
5.168283457E2,1.027023315E3
5.177848827E2,1.026978531E3
5.187415617E2,1.026934662E3
5.196987697E2,1.026883774E3
5.206558197E2,1.026831970E3
5.216130327E2,1.026782150E3
5.225702227E2,1.026731796E3
5.235275327E2,1.026682739E3
5.244849297E2,1.026641235E3
5.254421477E2,1.026603088E3
5.263993297E2,1.026565933E3
5.273565757E2,1.026529694E3
5.283138217E2,1.026494064E3
5.292709737E2,1.026457748E3
5.302282327E2,1.026421432E3
5.311852337E2,1.026387634E3
5.321423167E2,1.026355972E3
5.330993417E2,1.026323471E3
5.340563337E2,1.026294632E3
5.350132857E2,1.026266785E3
5.359702497E2,1.026236954E3
5.369273057E2,1.026199875E3
5.378842837E2,1.026161346E3
5.388412957E2,1.026119461E3
5.397983677E2,1.026069641E3
5.407553587E2,1.026018829E3
5.417119727E2,1.025974045E3
5.426687417E2,1.025931091E3
5.436257817E2,1.025892334E3
5.445831857E2,1.025858612E3
5.455405587E2,1.025828934E3
5.464977177E2,1.025800171E3
5.474548227E2,1.025772781E3
5.484118047E2,1.025745163E3
5.493689087E2,1.025720291E3
5.503259807E2,1.025693512E3
5.512832707E2,1.025666656E3
5.522407747E2,1.025638275E3
5.531982327E2,1.025610275E3
5.541558317E2,1.025578842E3
5.551134837E2,1.025545502E3
