Time (s),X (hPa),X (hPa)_kalman,X (hPa)_kalman_lowpass
208.5900384,1013.024368,1012.945036786631,1012.934890068665
209.5394694,1013.172913,1013.0650096476872,1013.0699063113444
210.4887924,1013.364182,1013.222526743401,1013.2308408839328
211.4380394,1013.535767,1013.3874423692035,1013.3802591064699
212.3874014,1013.591995,1013.4951280525005,1013.4902055921592
213.3365884,1013.591995,1013.5461189972826,1013.5508401832454
214.2857474,1013.588181,1013.5682717412581,1013.5707024274661
215.2349184,1013.572922,1013.5707279293117,1013.569438348677
216.1841484,1013.572922,1013.5718909748122,1013.5703689026471
217.1334754,1013.60878,1013.5913043566125,1013.596552592183
218.0827624,1013.757935,1013.6790324194817,1013.665746292907
219.0319554,1013.861237,1013.7749759717552,1013.7804085710375
219.9811384,1014.015808,1013.9017701232973,1013.9195818511209
220.9304494,1014.202499,1014.0601071620806,1014.0449184326878
221.8796354,1014.202499,1014.1350823579876,1014.1220784558154
222.8287824,1014.115219,1014.12463272187,1014.1414099148227
223.7780004,1014.108734,1014.1162463085737,1014.1193764707659
224.7271374,1014.053879,1014.0834188677659,1014.080092884626
225.6762534,1014.009247,1014.044384576591,1014.0357446273468
226.6254624,1013.926315,1013.9822310847513,1013.9841272750637
227.5746714,1013.852768,1013.9140789072713,1013.9222590086156
228.5237664,1013.814011,1013.8614026358571,1013.8588477710437
229.4728264,1013.772812,1013.8147691006988,1013.8118684489525
230.4217724,1013.772812,1013.7926873536786,1013.7942662037196
231.3707154,1013.816299,1013.805110693898,1013.8018495966098
232.3197404,1013.816299,1013.8109933501224,1013.8135517886984
233.2688694,1013.791656,1013.8007967469522,1013.8030368947358
234.2179404,1013.707962,1013.7519127673283,1013.753712124629
235.1669924,1013.612289,1013.6784114128484,1013.6692281261925
236.1160814,1013.468704,1013.56799599841,1013.574229942562
237.0650634,1013.451385,1013.5065864237124,1013.5035407074926
238.0140534,1013.451385,1013.4775079785875,1013.4837872158487
238.9629684,1013.557968,1013.5198769615904,1013.5180120026389
239.9119444,1013.654938,1013.5910003059563,1013.584182615405
240.8608284,1013.697052,1013.6468187100696,1013.6491683740165
241.8098634,1013.715591,1013.683018381174,1013.6877177996608
242.7590534,1013.697052,1013.6903907843576,1013.6928629916365
243.7081084,1013.674164,1013.6818636210437,1013.6729911419977
244.6571424,1013.604507,1013.6411288357039,1013.6420712923391
245.6061204,1013.576431,1013.6070586018473,1013.612171531398
246.5551314,1013.576431,1013.5909257849295,1013.5911294766544
247.5042384,1013.58017,1013.5852789386623,1013.5822219870408
248.4533554,1013.584137,1013.5846937742308,1013.5834682226789
249.4025564,1013.587646,1013.5862483274863,1013.5884552761655
250.3515284,1013.592987,1013.5897800924437,1013.5909589184405
251.3006014,1013.595886,1013.5929948735368,1013.5910018788499
252.2496584,1013.598709,1013.5959952895403,1013.5965940933393
253.1986704,1013.637543,1013.6178853967592,1013.6183486812596
254.1478614,1013.70575,1013.6641444060347,1013.6607844681115
255.0969264,1013.751678,1013.7102135802095,1013.7173145462849
256.0459914,1013.839569,1013.7783010593832,1013.772610294923
256.9948464,1013.839569,1013.8105416022726,1013.8101095405542
257.9435544,1013.823776,1013.8175174572374,1013.819529658341
258.8922824,1013.77739,1013.7963987961011,1013.8006712688273
259.8410374,1013.748474,1013.7711672440994,1013.762668320139
260.7898894,1013.666763,1013.7161922566979,1013.7196107161888
261.7389994,1013.650284,1013.6814845134494,1013.6843506781505
262.6878944,1013.649902,1013.6648570213073,1013.6632292918716
263.6368164,1013.648682,1013.6563409498103,1013.6546254712187
264.5856344,1013.647842,1013.6518585736223,1013.6522014194354
265.5343424,1013.64624,1013.6489006105509,1013.6503019007073
266.4831244,1013.645248,1013.6469858222438,1013.6472898057544
267.4318974,1013.644257,1013.6455649943701,1013.644667035036
268.3807244,1013.644028,1013.6447636729512,1013.643796531861
269.3294974,1013.641968,1013.6432916779098,1013.6439353311794
270.2783644,1013.641205,1013.6422090559587,1013.6433318598708
271.2271514,1013.641205,1013.6416964166324,1013.6416425691256
272.1760064,1013.641891,1013.6418071475163,1013.640630324164
273.1249524,1013.644104,1013.643016404573,1013.6421870675314
274.0737374,1013.645859,1013.644520893836,1013.6457951451146
275.0225704,1013.648453,1013.6465829224691,1013.6484048930633
275.9714884,1013.64975,1013.6482662750889,1013.6475107189754
276.9202634,1013.64975,1013.6490633702816,1013.6449885335505
277.8691564,1013.649063,1013.6490551999316,1013.6479057852185
278.8178864,1013.649063,1013.6490513311363,1013.6644097889766
279.7666894,1013.768387,1013.7118714778532,1013.696802549012
280.7154364,1013.768387,1013.7416178520634,1013.7370213282388
281.6641904,1013.768387,1013.7557032502184,1013.7690513212785
282.6128574,1013.788605,1013.7730414077217,1013.7779259548054
283.5616464,1013.788605,1013.7812513108844,1013.7592756807855
284.5104924,1013.644714,1013.7093668528217,1013.7219648995012
285.4592864,1013.644333,1013.6751355738602,1013.681445906396
286.4080874,1013.644333,1013.6589264994326,1013.6492993763917
287.3568434,1013.596878,1013.6262509802596,1013.6277530514959
288.3056434,1013.596191,1013.6104251096688,1013.6130142928388
289.2544664,1013.596191,1013.6029312992688,1013.6024688530313
290.2032714,1013.596115,1013.5993507226059,1013.5972714565607
291.1521394,1013.595428,1013.5972696525255,1013.5978317843384
292.1010224,1013.594589,1013.5958664895066,1013.5990526564332
293.0499384,1013.592377,1013.5940452445457,1013.5939440499762
293.9988434,1013.589554,1013.59167255685,1013.5847740634384
294.9477864,1013.589554,1013.5905490501444,1013.5895951598214
295.8967354,1013.641586,1013.61742735699,1013.6325392311393
296.8455274,1013.811951,1013.7198406843627,1013.7213411354887
297.7945264,1013.998489,1013.8665365993006,1013.8312401679462
298.7434534,1013.910065,1013.8894694929098,1013.9131237356943
299.6923154,1013.910065,1013.9003285957722,1013.9235596512743
300.6412384,1013.854523,1013.8762286158142,1013.8535582976732
301.5902664,1013.648148,1013.7561396753694,1013.7326569504005
302.5392104,1013.418579,1013.5784195933774,1013.6065845436656
303.4882724,1013.430481,1013.5005323381073,1013.5092325152496
304.4373404,1013.424911,1013.4607272454168,1013.4511178712968
305.3864754,1013.424911,1013.4418788783796,1013.4275428092868
306.3353114,1013.424911,1013.4329538661273,1013.4316388271241
307.2839184,1013.428497,1013.4305914980746,1013.4582693388219
308.2323194,1013.581467,1013.5100328269889,1013.4996141077235
309.1806454,1013.594742,1013.5546226837056,1013.5428886981798
310.1290914,1013.594742,1013.5757367153212,1013.575256410196
311.0775134,1013.589249,1013.5828424966718,1013.5904025527851
312.0260734,1013.5849,1013.5839256868696,1013.5899303200044
312.9749534,1013.581848,1013.5828318950487,1013.5805453639592
313.9238984,1013.580093,1013.5813820804767,1013.5720155406742
314.8727824,1013.578568,1013.5798922192856,1013.5750045393345
315.8216454,1013.578568,1013.5791867454715,1013.5924313161988
316.7704044,1013.601685,1013.5910314796781,1013.6052434529605
317.7192724,1013.601685,1013.5966401564251,1013.5677958314403
318.6681854,1013.28064,1013.4302710939611,1013.4291643302354
319.6170034,1012.898636,1013.1503658688325,1013.1753009713451
320.5657724,1012.615433,1012.8687243537429,1012.8607821247475
321.5146084,1012.378311,1012.6105218500999,1012.5972824480673
322.4633724,1012.378311,1012.4882587116514,1012.4969191351151
323.4121634,1012.705078,1012.6024105614459,1012.6069294743944
324.3608894,1013.152161,1012.8918449250009,1012.8824918047452
325.3096584,1013.490295,1013.2069192480787,1013.2164131170923
326.2584374,1013.780518,1013.508909320843,1013.5021069645308
327.2072004,1013.843384,1013.6850046190759,1013.6850476396811
328.1560474,1013.843384,1013.7683886433368,1013.7723247823484
329.1049704,1013.83728,1013.8046589518387,1013.8041789606152
330.0538564,1013.831253,1013.8186522739012,1013.8164941079809
331.0027684,1013.830338,1013.824796332322,1013.8221112520894
331.9515704,1013.798523,1013.8109638288793,1013.8174604911449
332.9004224,1013.794479,1013.8022930663653,1013.7997394358971
333.8492914,1013.751373,1013.7754685763648,1013.7754776973915
334.7980454,1013.738251,1013.7558900615635,1013.7543894683944
335.7467954,1013.731766,1013.7431809738446,1013.7386735574412
336.6955354,1013.682632,1013.7112951379085,1013.7217024903407
337.6442964,1013.682632,1013.6961966693863,1013.6984919231876
338.5929964,1013.682632,1013.6890472958471,1013.675890514204
339.5413924,1013.658905,1013.6731618219935,1013.6686496774178
340.4899674,1013.658905,1013.6656397884668,1013.6814385220696
341.4385174,1013.69545,1013.6813262503449,1013.6932359190075
342.3869514,1013.69545,1013.6887540484231,1013.6624716468444
343.3354564,1013.455353,1013.5658881937478,1013.5549417643431
344.2839814,1013.143463,1013.3434722911512,1013.3754255856394
345.2324034,1013.014984,1013.1705126184368,1013.1769774437352
346.1811364,1012.971802,1013.0658946233772,1013.0364538075621
347.1297364,1012.971802,1013.0163562795047,1013.0102884978212
348.0783724,1013.12233,1013.0721415126294,1013.1007479517357
349.0269524,1013.428345,1013.2596766375763,1013.2565196247333
349.9754044,1013.562393,1013.4190438819389,1013.4067622844522
350.9242884,1013.579483,1013.5035044183963,1013.5037325539919
351.8733504,1013.579483,1013.5434978735977,1013.544646141033
352.8224194,1013.579483,1013.5624354333864,1013.5613672057851
353.7715024,1013.580856,1013.5721417619776,1013.5909309122655
354.7205594,1013.748779,1013.6651385146221,1013.6503914312688
355.6695474,1013.822327,1013.7478954841267,1013.7299367629712
356.6184264,1013.822327,1013.7870822723157,1013.8013424872348
