Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),Velocity (m/s)_kalman,Velocity (m/s)_kalman_lowpass
759.930652,51.81548223,4.693745004,2.434430382,0.001553591224,256.9095606,6.000906205,6.000906205,0.007616319463757881,0.005734238365730094
760.9306496,51.81548239,4.693745419,2.434542587,0.001161947032,257.3315024,6.000906205,6.000906205,0.003990464494577113,0.018206384761164908
761.9306482,51.81548226,4.693744704,2.434859364,0.02108517475,256.5131365,6.000906205,6.000906205,0.013593712648038986,0.020845254108063614
762.9306477,51.81548102,4.693745828,2.43464385,0.0167916622,255.8979823,6.000906205,6.000906205,0.015390215933298156,0.007851278257598035
763.9306487,51.81548082,4.693745698,2.432352935,0.002525106072,255.0020527,6.000906205,6.000906205,0.008163018710372906,-0.0031290102075797986
764.9306489,51.81548116,4.693745309,2.431753055,0.01169612724,256.5657562,6.000906205,6.000906205,0.010147803329695391,0.004562650320980596
765.9306504,51.81548054,4.693745237,2.432314481,0.003666807897,255.5265293,6.000906205,6.000906205,0.006506992431328098,0.02090390037344822
766.9306524,51.81548061,4.693745254,2.431227359,0.003776513273,256.0320179,6.000906205,6.000906205,0.004973098698240711,0.02027956680292896
767.9306562,51.81548036,4.693745117,2.431259409,0.006630081218,255.9266418,6.000906205,6.000906205,0.005903937190320257,-0.0016815973001317061
768.9306586,51.81548039,4.693744906,2.430785395,0.003783795517,255.7489749,6.000906205,6.000906205,0.0047129110599738195,-0.01687666520235834
769.9306623,51.81548144,4.693745635,2.430810092,0.01019383501,255.7022291,6.000906205,6.000906205,0.0077919145661984445,-0.0008346224381076267
770.9306663,51.8154817,4.693746235,2.432731735,0.003830770496,255.9252484,6.000906205,6.000906205,0.005566673605855218,0.029406173094763816
771.9306709,51.81548179,4.693747073,2.433394252,0.007931868546,255.5182238,6.000906205,6.000906205,0.006895362632677397,0.03246001995949518
772.9306763,51.8154817,4.693747494,2.433635598,0.02418856137,256.3339669,6.000906205,6.000906205,0.01661011510703539,-0.00012214700649142423
773.9306805,51.815481,4.693747315,2.433491505,0.003447613213,255.4644839,6.000906205,6.000906205,0.009215852783391019,-0.02458356589085991
774.930686,51.81548084,4.693747464,2.432189635,0.005914777052,255.0606831,6.000906205,6.000906205,0.007361416589759228,-0.0007431621093614008
775.9306922,51.81548091,4.693747471,2.431771057,0.01030638069,257.3468567,6.000906205,6.000906205,0.009015800935548718,0.04502339220844983
776.9306988,51.81548091,4.693747471,2.431771057,0.0,257.3468567,6.000906205,6.000906205,0.003951019352764279,0.04347841463656201
777.9307046,51.81548091,4.693747471,2.431771057,0.0,257.3468567,6.000906205,6.000906205,0.0017314661268048254,-0.021141728039706684
778.9307112,51.81548091,4.693747471,2.431771057,0.0,257.3468567,6.000906205,6.000906205,0.0007587851844296865,-0.06852557300002632
779.9307177,51.8154797,4.693749131,2.431858054,0.00175220985,223.5031737,6.000906205,6.000906205,0.0013168586139883794,-0.014059603721606376
780.9307253,51.81548027,4.693751305,2.429647063,0.001068434794,223.5439226,6.000906205,6.000906205,0.0011773022512202198,0.097761656663594
781.9307331,51.81548033,4.693751418,2.430469665,0.0006386053283,218.9229991,6.000906205,6.000906205,0.0008746799691255828,0.09559768680583698
782.9307402,51.81548241,4.69375347,2.430665222,0.1131754741,220.9372219,6.000906205,6.000906205,0.06396158682842179,-0.1428366866904023
783.930747,51.81548164,4.693752365,2.434492227,-1.0,-1.0,48.00724964,48.00724964,-0.5337371743000846,-0.5223016833764228
784.9307554,51.81548106,4.693751419,2.855193057,-1.0,-1.0,48.00724964,48.00724964,-0.7956683537065248,-0.7757678410981613
785.930763,51.81548145,4.693752197,3.196094901,-1.0,-1.0,48.00724964,48.00724964,-0.9104551781190617,-0.7029431474260185
786.9307714,51.81548201,4.693753755,3.470194703,0.3468327522,214.1150787,8.001208274,8.001208274,-0.20415201111260173,-0.3525339830899608
787.9307799,51.81548054,4.693752645,2.537724197,0.4526936412,211.1250541,8.001208274,8.001208274,0.1648423562514224,0.05101298195494386
788.9307892,51.81547703,4.693752701,2.44176833,0.4526936412,191.6973323,8.001208274,8.001208274,0.3265477773158839,0.35206481602786177
789.9307972,51.81546677,4.693751555,2.425721709,0.5308690667,164.8993993,8.001208274,8.001208274,0.4413287835646258,0.6053144799203601
790.9308064,51.815458,4.693766896,2.405282361,1.344103694,144.5528668,8.001208274,8.001208274,0.948478150799707,0.9656996577106984
791.9308147,51.81544363,4.693783122,2.387143455,2.206909418,161.4506182,8.001208274,8.001208274,1.6554236070511188,1.4697821995744877
792.9308231,51.81542184,4.693797587,2.358941778,2.206909418,154.7902822,8.001208274,8.001208274,1.9652302674871176,1.966998498025319
793.9308327,51.81540148,4.693814721,2.316090177,2.332083702,152.2696555,8.001208274,8.001208274,2.1713165079029455,2.2724126885838976
794.9308414,51.81537838,4.69383501,2.274430902,2.40889883,155.2205432,12.00181241,12.00181241,2.304782472829442,2.3546728560370718
795.9308512,51.81535217,4.693853903,2.227840582,2.498801231,151.5554363,12.00181241,12.00181241,2.4137758547894026,2.345380446755454
796.9308606,51.81533017,4.693869149,2.175051133,2.40889883,153.078309,12.00181241,12.00181241,2.4110361022801325,2.3756031536257143
797.9308697,51.81531149,4.69388565,2.1293631,2.498801231,152.0913739,12.00181241,12.00181241,2.46033967638021,2.441127340317021
798.9308797,51.8152886,4.693906568,2.090496353,2.299996376,151.6885021,16.00241655,16.00241655,2.370264063541858,2.445439674634193
799.9308882,51.81527252,4.693919294,2.075777846,2.299996376,150.9235619,16.00241655,16.00241655,2.330789978867564,2.3477131030052085
800.9308974,51.81525583,4.693934213,2.071899303,2.198961973,151.050016,16.00241655,16.00241655,2.2567333243315537,2.2240221658119683
801.9309065,51.81523798,4.69394548,2.077965916,2.180560827,151.1791885,16.00241655,16.00241655,2.2139421110977304,2.169288808278437
802.930917,51.81521864,4.693962156,2.078867835,2.10223937,151.0356316,16.00241655,16.00241655,2.1511911710370595,2.1718344434238914
803.9309261,51.81519751,4.693975959,2.091451542,2.10223937,151.0396614,16.00241655,16.00241655,2.123691653206504,2.12995210267687
804.9309366,51.81518188,4.69398641,2.100348844,1.824898481,151.004363,16.00241655,16.00241655,1.9558394385666142,2.0009679611189455
805.9309466,51.81516199,4.693998027,2.109536685,1.824898481,150.9376184,16.00241655,16.00241655,1.8822810988042928,1.8927769144316546
